省,市,区,全名,别名,性质,等级
安徽省,巢湖市,居巢区,巢湖市铸造厂职工医院,巢湖市铸造厂职工医院,公立/综合医院,二级甲等
安徽省,巢湖市,居巢区,巢湖市第二人民医院,巢湖市第二人民医院,公立/综合医院,二级甲等
安徽省,巢湖市,居巢区,巢湖市第一人民医院,巢湖市第一人民医院,公立/综合医院,三级甲等　　
安徽省,巢湖市,居巢区,巢湖康平妇产医院,巢湖康平妇产医院,民营/专科医院,民营医院
安徽省,巢湖市,居巢区,巢湖妇产医院,巢湖妇幼保健院,民营/专科医院,民营医院
安徽省,巢湖市,居巢区,安徽省工人半汤温泉疗养院,安徽省职工矿泉理疗医院,公立/综合医院,二级乙等
安徽省,巢湖市,居巢区,居巢区半汤街道社区卫生服务中心,居巢区半汤街道社区卫生服务中心,公立/综合医院,未知
安徽省,巢湖市,居巢区,居巢区亚父街道社区卫生服务中心,居巢区亚父街道社区卫生服务中心,公立/综合医院,未知
安徽省,巢湖市,居巢区,居巢区银屏镇岱山村委会卫生室,居巢区银屏镇岱山村委会卫生室,其他/综合医院,未知
安徽省,巢湖市,居巢区,居巢区银屏镇三胜村委会卫生室,居巢区银屏镇三胜村委会卫生室,其他/综合医院,未知
安徽省,巢湖市,居巢区,居巢区散兵镇后洞卫生室,居巢区散兵镇后洞卫生室,公立/综合医院,未知
安徽省,巢湖市,居巢区,居巢区坝镇湖东村委会卫生室,居巢区坝镇湖东村委会卫生室,其他/综合医院,未知
安徽省,巢湖市,居巢区,居巢区坝镇泉水行政村卫生室,居巢区坝镇泉水行政村卫生室,其他/综合医院,未知
安徽省,巢湖市,居巢区,居巢区坝镇联河村委会卫生室,居巢区坝镇联河村委会卫生室,其他/综合医院,未知
安徽省,巢湖市,居巢区,居巢区坝镇石塘村委会卫生室,居巢区坝镇石塘村委会卫生室,其他/综合医院,未知
安徽省,巢湖市,居巢区,居巢区坝镇夏店村委会卫生室,居巢区坝镇夏店村委会卫生室,其他/综合医院,未知
安徽省,巢湖市,居巢区,居巢区坝镇青山村委会卫生室,居巢区坝镇青山村委会卫生室,其他/综合医院,未知
安徽省,巢湖市,居巢区,,,,
