省,市,区,全名,别名,性质,等级
海南省,海口市,海口市,海南杏林肛肠医院,杏林医院,民营/专科医院,民营医院
海南省,海口市,海口市,海南中医药研究所附属琼岛医院,琼岛男科医院,民营/综合医院,民营医院
海南省,海口市,海口市,海口市秀英区海滨社区卫生服务站,海滨社区卫生服务站,公立/综合医院,一级甲等
海南省,海口市,海口市,海南省骨科医院,海南省骨科医院,个体户/综合医院,一级甲等
海南省,海口市,海口市,海南妇产科医院,海南妇产科医院,民营/综合医院,未知
海南省,海口市,海口市,海南医疗康复中心,海南医疗康复中心,合资/专科医院,未知
海南省,海口市,海口市,海南省海口港集团公司海港医院,海南省海口港集团公司海港医院,公立/综合医院,二级甲等
海南省,海口市,海口市,海南省人民医院,海南省人民医院,公立/综合医院,三级甲等　　
海南省,海口市,海口市,海南省农垦总局医院,海南省工人医院,公立/综合医院,三级甲等　　
海南省,海口市,海口市,海南省心血管病医院,海南省心血管病医院,公立/专科医院,未知
海南省,海口市,海口市,省计划生育生殖医学中心,省计划生育生殖医学中心,合资/专科医院,未知
海南省,海口市,海口市,意美综合医疗门诊部,意美综合医疗门诊部,合资/综合医院,未知
海南省,海口市,海口市,海秀乡卫生院,海秀乡卫生院,公立/综合医院,一级乙等
海南省,海口市,海口市,秀英社区卫生服务站,秀英社区卫生服务站,个体户/综合医院,未知
海南省,海口市,海口市,海口广安医疗综合门诊部,海口广安医疗综合门诊部,个体户/综合医院,未知
海南省,海口市,海口市,海南南方中西医结合医院,海南南方中西医结合医院,个体户/综合医院,一级甲等
海南省,海口市,海口市,海口市长流中心卫生院,海口市长流中心卫生院,个体户/综合医院,一级甲等
海南省,海口市,海口市,海口市中医院,海口市中医院,公立/综合医院,二级甲等
海南省,海口市,海口市,海口市秀英区妇幼保健站,海口市秀英区妇幼保健站,公立/综合医院,二级甲等
海南省,海口市,海口市,海口市秀英区秀英社区卫生服务站,海口市秀英区秀英社区卫生服务站,民营/综合医院,一级甲等
海南省,海口市,海口市,秀英区海秀乡卫生院,秀英区海秀乡卫生院,民营/综合医院,一级甲等
海南省,海口市,海口市,海南省军区医院,海南省军区医院,公立/综合医院,一级甲等
海南省,海口市,海口市,海南187男科医院,海南187男科医院,公立/综合医院,三级甲等　　
海南省,海口市,海口市,海南187口腔医院,解放军第一八七医院,公立/综合医院,未知
海南省,海口市,海口市,海南187口腔医院,海南187口腔医院,公立/综合医院,三级甲等　　
海南省,海口市,海口市,石山镇美安卫生院,石山镇美安卫生院,其他/其他,未知
海南省,海口市,海口市,永兴卫生院,永兴卫生院,其他/其他,未知
海南省,海口市,海口市,秀英区石山卫生院,秀英区石山卫生院,其他/其他,未知
海南省,海口市,海口市,秀华社区卫生服务站,秀华社区卫生服务站,其他/其他,未知
海南省,海口市,海口市,秀英区东山卫生院,秀英区东山卫生院,其他/其他,未知
海南省,海口市,海口市,秀英区西秀卫生院,秀英区西秀卫生院,其他/其他,未知
海南省,海口市,海口市,东方洋社区卫生服务站,东方洋社区卫生服务站,其他/其他,未知
海南省,海口市,海口市,海口市秀英区计生服务指导中心,海口市秀英区计生服务指导中心,其他/其他,未知
海南省,海口市,海口市,秀英区疾病预防控制中心,秀英区疾病预防控制中心,其他/其他,未知
海南省,海口市,海口市,东山镇卫生院,东山镇卫生院,其他/其他,未知
海南省,海口市,海口市,石山镇卫生院,石山镇卫生院,其他/其他,未知
海南省,海口市,海口市,海口市秀英区新海乡卫生院,海口市秀英区新海乡卫生院,其他/其他,未知
海南省,海口市,海口市,海南省皮肤性病防治中心秀英门诊部,海南省皮肤性病防治中心秀英门诊部,其他/其他,未知
海南省,海口市,海口市,海南省肿瘤医院,海南省肿瘤医院,其他/其他,未知
海南省,海口市,海口市,海口市皮肤性病疗养所海秀门诊,海口市皮肤性病疗养所海秀门诊,其他/门诊,未知
海南省,海口市,海口市,海南省卫生厅临床检验中心,海南省卫生厅临床检验中心,其他/其他,未知
海南省,海口市,海口市,海口市秀英区西秀镇卫生院,海口市秀英区西秀镇卫生院,公立/综合医院,未知
海南省,海口市,海口市,海口市秀英区海秀卫生院,海口市秀英区海秀卫生院,其他/其他,未知
海南省,海口市,海口市,海南省血液中心,海南省血液中心,其他/其他,未知
海南省,海口市,海口市,中国人民解放军海军四二四医院,中国人民解放军海军四二四医院,公立/综合医院,一级甲等
海南省,海口市,海口市,海南琼岛男科医院,海南男科医院,民营/专科医院,民营医院
海南省,海口市,海口市,海南琼岛医院,海南中医药研究所附属琼岛医院,其他/综合医院,未评级
海南省,海口市,海口市,海南口腔医院,海南口腔医院,合资/口腔医院,未知
海南省,海口市,海口市,海南现代女子医院,海南现代女子医院,个体户/综合医院,一级甲等
海南省,海口市,海口市,海南中医药研究所附属医院,海南附属琼岛医院,公立/综合医院,一级甲等
海南省,海口市,海口市,海口仁爱医院,海口仁爱医院,其他/综合医院,未评级
海南省,海口市,海口市,海南骨科医院,北京宣武医院疼痛诊疗中心海南分中心,民营/专科医院,未知
海南省,海口市,海口市,海南现代男科医院,男科医院,民营/专科医院,未知
海南省,海口市,海口市,海南美媛医学美容门诊部,海南美媛整形医院,民营/门诊,未评级
海南省,海口市,海口市,琼山区三门坡镇卫生院,琼山区三门坡镇卫生院,其他/其他,未知
海南省,海口市,海口市,滨海社区服务中心,滨海社区服务中心,其他/其他,未知
海南省,海口市,海口市,农垦医院海垦门诊,农垦医院海垦门诊,其他/其他,未知
海南省,海口市,海口市,坡博接种门诊,坡博接种门诊,其他/其他,未知
海南省,海口市,海口市,遵谭卫生院,遵谭卫生院,其他/其他,未知
海南省,海口市,海口市,海南省龙华区城西门诊,海南省龙华区城西门诊,其他/其他,未知
海南省,海口市,海口市,农垦防疫站,农垦防疫站,其他/其他,未知
海南省,海口市,海口市,海南省新华门诊,海南省新华门诊,其他/其他,未知
海南省,海口市,海口市,龙桥卫生院,龙桥卫生院,其他/其他,未知
海南省,海口市,海口市,海南省滨涯门诊,海南省滨涯门诊,其他/其他,未知
海南省,海口市,海口市,昌茂卫生服务站,昌茂卫生服务站,其他/其他,未知
海南省,海口市,海口市,金盘卫生服务站,金盘卫生服务站,其他/其他,未知
海南省,海口市,海口市,新坡卫生院,新坡卫生院,其他/其他,未知
海南省,海口市,海口市,龙泉镇卫生院,龙泉镇卫生院,其他/其他,未知
海南省,海口市,海口市,海南省头铺门诊,海南省头铺门诊,其他/其他,未知
海南省,海口市,海口市,华南接种门诊,华南接种门诊,其他/其他,未知
海南省,海口市,海口市,苍西合作医疗站,苍西合作医疗站,其他/其他,未知
海南省,海口市,海口市,海南省医院龙华接种门诊,海南省医院龙华接种门诊,其他/其他,未知
海南省,海口市,海口市,海口市龙华区疾病预防控制中心,海口市龙华区疾病预防控制中心,其他/其他,未知
海南省,海口市,海口市,龙泉镇卫生院,龙泉镇卫生院,其他/综合医院,未知
海南省,海口市,海口市,新坡镇卫生院,新坡镇卫生院,其他/其他,未知
海南省,海口市,海口市,遵谭镇卫生院,遵谭镇卫生院,其他/其他,未知
海南省,海口市,海口市,龙泉镇卫生院美仁坡分院,龙泉镇卫生院美仁坡分院,其他/其他,未知
海南省,海口市,海口市,海南妇产科医院华西门诊部,海南妇产科医院华西门诊部,其他/门诊,未知
海南省,海口市,海口市,海南省人民医院海口门诊部,海南省人民医院海口门诊部,公立/综合医院,未知
海南省,海口市,海口市,海南省地质医院,海南省地质医院,公立/综合医院,二级甲等
海南省,海口市,海口市,海南省安宁医院,海南省安宁医院,公立/综合医院,二级甲等
海南省,海口市,海口市,海南省口腔医院,海南省口腔医院,民营/专科医院,二级甲等
海南省,海口市,海口市,海南省眼科医院,海南省眼科医院,民营/综合医院,二级甲等
海南省,海口市,海口市,海南医学院附属医院,海南医学院附属医院,公立/综合医院,三级甲等　　
海南省,海口市,海口市,中国人民解放军第一八七中心医院,海南187医院,公立/综合医院,三级甲等　　
海南省,海口市,海口市,海南骨科医院,北京宣武医院疼痛诊疗中心海南分中心,民营/专科医院,未知
海南省,海口市,海口市,海南现代妇婴医院,海南现代妇婴医院,民营/综合医院,未知
海南省,海口市,海口市,洋浦王秀兰内科诊所,洋浦王秀兰内科诊所,个体户/综合医院,未知
海南省,海口市,海口市,盛泰诊所,盛泰诊所,合资/综合医院,未知
海南省,海口市,海口市,海南医学院附属医院昌茂花园门诊部,海南医学院附属医院昌茂花园门诊部,公立/综合医院,未知
海南省,海口市,海口市,海南国际鹤春园疗养康复中心门诊部,海南国际鹤春园疗养康复中心门诊部,合资/综合医院,未知
海南省,海口市,海口市,海南口腔医院,海南口腔医院,合资/专科医院,未知
海南省,海口市,海口市,海口眼科中心,海口眼科中心,合资/综合医院,未知
海南省,海口市,海口市,海口龙华朱荣琴诊所,海口龙华朱荣琴诊所,个体户/门诊,未知
海南省,海口市,海口市,海口龙华孟祥荣诊所,海口龙华孟祥荣诊所,个体户/门诊,未知
海南省,海口市,海口市,海口龙华本富堂中西医结合诊,海口龙华本富堂中西医结合诊,个体户/综合医院,未知
海南省,海口市,海口市,海南省司法医院,海南省司法医院,公立/综合医院,未知
海南省,海口市,海口市,龙华区金盘社区卫生服务站,龙华区金盘社区卫生服务站,个体户/综合医院,一级甲等
海南省,海口市,海口市,海口市振东区妇幼保健所,海口市振东区妇幼保健所,公立/综合医院,二级甲等
海南省,海口市,海口市,海口市职业病防治所,海口市职业病防治所,公立/综合医院,二级甲等
海南省,海口市,海口市,海南省骨科医院,都军区八一骨科医院海南分院,民营/专科医院,二级甲等
海南省,海口市,海口市,海口妇产科医院,海口妇产科医院,民营/综合医院,二级甲等
海南省,海口市,海口市,海口市二轻医院,海口市二轻医院,公立/综合医院,二级甲等
海南省,海口市,海口市,海南省皮肤病医院,海南省皮肤性病防治中心,公立/专科医院,二级甲等
海南省,海口市,海口市,白坡里社区卫生服务站,白坡里社区卫生服务站,其他/其他,未知
海南省,海口市,海口市,琼山区防疫站接种门诊,琼山区防疫站接种门诊,其他/其他,未知
